level_code,hanzi_type,hanzi_type_name,character
HSK7-9,1,认读,惮
HSK7-9,1,认读,惰
HSK7-9,1,认读,惹
HSK7-9,1,认读,愈
HSK7-9,1,认读,愚
HSK7-9,1,认读,愣
HSK7-9,1,认读,愧
HSK7-9,1,认读,慈
HSK7-9,1,认读,慌
HSK7-9,1,认读,慑
HSK7-9,1,认读,慨
HSK7-9,1,认读,慷
HSK7-9,1,认读,憋
HSK7-9,1,认读,憔
HSK7-9,1,认读,憧
HSK7-9,1,认读,憨
HSK7-9,1,认读,憬
HSK7-9,1,认读,懈
HSK7-9,1,认读,戈
HSK7-9,1,认读,戳
HSK7-9,1,认读,扁
HSK7-9,1,认读,扒
HSK7-9,1,认读,扛
HSK7-9,1,认读,扯
HSK7-9,1,认读,扳
HSK7-9,1,认读,抉
HSK7-9,1,认读,抒
HSK7-9,1,认读,抖
HSK7-9,1,认读,抚
HSK7-9,1,认读,抠
HSK7-9,1,认读,抡
HSK7-9,1,认读,抨
HSK7-9,1,认读,抹
HSK7-9,1,认读,拄
HSK7-9,1,认读,拇
HSK7-9,1,认读,拌
HSK7-9,1,认读,拎
HSK7-9,1,认读,拓
HSK7-9,1,认读,拘
HSK7-9,1,认读,拙
HSK7-9,1,认读,拢
HSK7-9,1,认读,拣
HSK7-9,1,认读,拧
HSK7-9,1,认读,拯
HSK7-9,1,认读,拱
HSK7-9,1,认读,拳
HSK7-9,1,认读,拴
HSK7-9,1,认读,拽
HSK7-9,1,认读,挎
HSK7-9,1,认读,挚
HSK7-9,1,认读,挟
HSK7-9,1,认读,挠
HSK7-9,1,认读,挨
HSK7-9,1,认读,挪
HSK7-9,1,认读,振
HSK7-9,1,认读,挽
HSK7-9,1,认读,捂
HSK7-9,1,认读,捅
HSK7-9,1,认读,捆
HSK7-9,1,认读,捍
HSK7-9,1,认读,捎
HSK7-9,1,认读,捏
HSK7-9,1,认读,捞
HSK7-9,1,认读,捣
HSK7-9,1,认读,捶
HSK7-9,1,认读,掀
HSK7-9,1,认读,掐
HSK7-9,1,认读,掘
HSK7-9,1,认读,掠
HSK7-9,1,认读,掩
HSK7-9,1,认读,掰
HSK7-9,1,认读,掷
HSK7-9,1,认读,掺
HSK7-9,1,认读,揉
HSK7-9,1,认读,揍
HSK7-9,1,认读,揠
HSK7-9,1,认读,揣
HSK7-9,1,认读,揪
HSK7-9,1,认读,揭
HSK7-9,1,认读,揽
HSK7-9,1,认读,搀
HSK7-9,1,认读,搁
HSK7-9,1,认读,搂
HSK7-9,1,认读,搅
HSK7-9,1,认读,搏
HSK7-9,1,认读,搓
HSK7-9,1,认读,摊
HSK7-9,1,认读,摧
HSK7-9,1,认读,撇
HSK7-9,1,认读,撕
HSK7-9,1,认读,撬
HSK7-9,1,认读,撰
HSK7-9,1,认读,撵
HSK7-9,1,认读,撼
HSK7-9,1,认读,擎
HSK7-9,1,认读,攀
HSK7-9,1,认读,攒
HSK7-9,1,认读,攘
HSK7-9,1,认读,敛
HSK7-9,1,认读,敞
HSK7-9,1,认读,敦
HSK7-9,1,认读,敷
HSK7-9,1,认读,斑
HSK7-9,1,认读,斟
HSK7-9,1,认读,斥
HSK7-9,1,认读,斧
HSK7-9,1,认读,斩
HSK7-9,1,认读,旨
HSK7-9,1,认读,旭
HSK7-9,1,认读,旷
HSK7-9,1,认读,旺
HSK7-9,1,认读,昌
HSK7-9,1,认读,昏
HSK7-9,1,认读,昔
HSK7-9,1,认读,昧
HSK7-9,1,认读,昼
HSK7-9,1,认读,晃
HSK7-9,1,认读,晋
HSK7-9,1,认读,晓
HSK7-9,1,认读,晤
HSK7-9,1,认读,晶
HSK7-9,1,认读,暄
HSK7-9,1,认读,暧
HSK7-9,1,认读,暨
HSK7-9,1,认读,暮
HSK7-9,1,认读,曙
HSK7-9,1,认读,曝
HSK7-9,1,认读,曰
HSK7-9,1,认读,朦
HSK7-9,1,认读,朱
HSK7-9,1,认读,朽
HSK7-9,1,认读,杆
HSK7-9,1,认读,杖
HSK7-9,1,认读,杜
HSK7-9,1,认读,杠
HSK7-9,1,认读,杨
